  
  
# r(i) [cm]  Tk(i) [K]
  
1.3732778686E+0010  8.3292086718E+0003
1.4131975760E+0010  8.5179728046E+0003
1.4603148870E+0010  8.6528720012E+0003
1.5158287348E+0010  8.7375793776E+0003
1.5805675827E+0010  8.7550361361E+0003
1.6549819629E+0010  8.7048859165E+0003
1.7388664241E+0010  8.5906223756E+0003
1.8313617272E+0010  8.4250372682E+0003
1.9310850219E+0010  8.2228619087E+0003
2.0364259875E+0010  7.9965860510E+0003
2.1458116994E+0010  7.7599183732E+0003
2.2578554606E+0010  7.5208842250E+0003
2.3714450410E+0010  7.2915385248E+0003
2.4856426773E+0010  7.0717394498E+0003
2.5998076619E+0010  6.8666618390E+0003
2.7134055558E+0010  6.6743282299E+0003
2.8260854726E+0010  6.4974993338E+0003
2.9375208254E+0010  6.3344082767E+0003
3.0475254017E+0010  6.1826737796E+0003
3.1559647830E+0010  6.0440499686E+0003
3.2627005064E+0010  5.9156645894E+0003
3.3676464742E+0010  5.7948880603E+0003
3.4707728740E+0010  5.6842723687E+0003
3.5720056859E+0010  5.5805466570E+0003
3.6713214984E+0010  5.4830981186E+0003
3.7687187117E+0010  5.3921795214E+0003
3.8641872524E+0010  5.3068210236E+0003
3.9577202251E+0010  5.2254272390E+0003
4.0493596201E+0010  5.1493183029E+0003
4.1390995513E+0010  5.0779947048E+0003
4.2269346271E+0010  5.0087166769E+0003
4.3129227575E+0010  4.9429253660E+0003
4.3970660594E+0010  4.8798622285E+0003
4.4793733246E+0010  4.8176490452E+0003
4.5598838412E+0010  4.7570350684E+0003
4.6386004150E+0010  4.6973309479E+0003
4.7155291605E+0010  4.6371935314E+0003
4.7906941470E+0010  4.5771471609E+0003
4.8640968697E+0010  4.5169079545E+0003
4.9357369872E+0010  4.4556352019E+0003
5.0056324704E+0010  4.3936280136E+0003
5.0737944839E+0010  4.3314292677E+0003
5.1402255953E+0010  4.2688788990E+0003
5.2049386606E+0010  4.2057352432E+0003
5.2679545597E+0010  4.1423690677E+0003
5.3292972739E+0010  4.0790643221E+0003
5.3889948460E+0010  4.0160488394E+0003
5.4470824213E+0010  3.9535058234E+0003
5.5035971096E+0010  3.8916825614E+0003
5.5585769034E+0010  3.8308186942E+0003
5.6120637033E+0010  3.7710644156E+0003
5.6641022242E+0010  3.7126027020E+0003
5.7147375162E+0010  3.6555636608E+0003
5.7640141446E+0010  3.5999494902E+0003
5.8119772946E+0010  3.5457702395E+0003
5.8586737975E+0010  3.4930228441E+0003
5.9041494333E+0010  3.4417227253E+0003
5.9484464593E+0010  3.3919549779E+0003
5.9916046874E+0010  3.3436554128E+0003
