  
  
#r(i)[cm]  v(i) [cm/s]
  
1.6487857794E+0010  3.6155073710E+0004
1.6836352994E+0010  3.8503816599E+0004
1.7194515218E+0010  4.0104243075E+0004
1.7561259177E+0010  4.0894894386E+0004
1.7935970021E+0010  4.2799107695E+0004
1.8317518542E+0010  4.4775004891E+0004
1.8704473217E+0010  4.5388269583E+0004
1.9095949270E+0010  4.6412730493E+0004
1.9491001097E+0010  4.8347274895E+0004
1.9888068519E+0010  4.8495426582E+0004
2.0286214180E+0010  4.9235585543E+0004
2.0684687919E+0010  5.1016996317E+0004
2.1082037225E+0010  5.1012964844E+0004
2.1477556325E+0010  5.1481799066E+0004
2.1870814091E+0010  5.3094166299E+0004
2.2260666976E+0010  5.3081869816E+0004
2.2646681188E+0010  5.3248197851E+0004
2.3028767568E+0010  5.4588373360E+0004
2.3406159208E+0010  5.4620337675E+0004
2.3778606861E+0010  5.4795644678E+0004
2.4146206460E+0010  5.6157080236E+0004
2.4508428227E+0010  5.6321492550E+0004
2.4865155216E+0010  5.6022509383E+0004
2.5216673972E+0010  5.7177251174E+0004
2.5562680446E+0010  5.7853457789E+0004
2.5902910979E+0010  5.7479901079E+0004
2.6237685992E+0010  5.8042152987E+0004
2.6566997332E+0010  5.8975035827E+0004
2.6890536434E+0010  5.8898720736E+0004
2.7208463751E+0010  5.8979282132E+0004
2.7520957815E+0010  5.9814647874E+0004
2.7827820052E+0010  6.0075161557E+0004
2.8129048583E+0010  5.9854297607E+0004
2.8424883166E+0010  6.0357733721E+0004
2.8715317012E+0010  6.1076884718E+0004
2.9000217095E+0010  6.1091877060E+0004
2.9279756438E+0010  6.0996581460E+0004
2.9554160850E+0010  6.1596957906E+0004
2.9823412091E+0010  6.2102246304E+0004
3.0087515700E+0010  6.2035356452E+0004
3.0346724836E+0010  6.2034248224E+0004
3.0601264094E+0010  6.2557040921E+0004
3.0851178186E+0010  6.2901658461E+0004
3.1096580048E+0010  6.2819956710E+0004
3.1337748632E+0010  6.2733978972E+0004
3.1574930509E+0010  6.3065424826E+0004
3.1808240724E+0010  6.3326855983E+0004
3.2037818903E+0010  6.3300546370E+0004
3.2263921002E+0010  6.3248069877E+0004
3.2486784067E+0010  6.3429101552E+0004
3.2706559771E+0010  6.3559437626E+0004
3.2923406305E+0010  6.3527897876E+0004
3.3137541688E+0010  6.3447532403E+0004
3.3349165933E+0010  6.3452167297E+0004
3.3558434853E+0010  6.3456779027E+0004
3.3765492208E+0010  6.3400512175E+0004
3.3970497056E+0010  6.3289536505E+0004
3.4173599107E+0010  6.3158417751E+0004
3.4374929474E+0010  6.3022755255E+0004
3.4574601217E+0010  6.2863146722E+0004
3.4772717041E+0010  6.2677163635E+0004
3.4969368983E+0010  6.2497969584E+0004
3.5164631078E+0010  6.2348911139E+0004
3.5358554793E+0010  6.2218964022E+0004
3.5551177036E+0010  6.2085552642E+0004
3.5742523865E+0010  6.1940813428E+0004
3.5932609834E+0010  6.1790409215E+0004
3.6121432487E+0010  6.1635432969E+0004
3.6308972018E+0010  6.1468789490E+0004
3.6495194630E+0010  6.1289824628E+0004
3.6680053193E+0010  6.1112674620E+0004
3.6863484919E+0010  6.0954022728E+0004
3.7045410230E+0010  6.0818178420E+0004
3.7225737019E+0010  6.0700014004E+0004
3.7404366052E+0010  6.0596626458E+0004
3.7581194228E+0010  6.0509628357E+0004
3.7756118290E+0010  6.0438789307E+0004
3.7929039802E+0010  6.0378699014E+0004
3.8099870642E+0010  6.0322056324E+0004
3.8268539285E+0010  6.0263935212E+0004
3.8434996624E+0010  6.0202252003E+0004
3.8599219306E+0010  6.0135993091E+0004
3.8761213849E+0010  6.0064672593E+0004
3.8921020070E+0010  5.9988489226E+0004
3.9078713308E+0010  5.9908935329E+0004
3.9234404973E+0010  5.9827468285E+0004
3.9388241257E+0010  5.9744838091E+0004
3.9540401464E+0010  5.9661337386E+0004
3.9691095455E+0010  5.9577682875E+0004
3.9840560362E+0010  5.9495046402E+0004
3.9989057117E+0010  5.9413990060E+0004
4.0136866999E+0010  5.9333663227E+0004
4.0284286393E+0010  5.9252619314E+0004
4.0431623622E+0010  5.9170007423E+0004
4.0579192922E+0010  5.9084308161E+0004
4.0727311053E+0010  5.8990025500E+0004
4.0876292502E+0010  5.8877510236E+0004
4.1026440409E+0010  5.8740292518E+0004
4.1178040034E+0010  5.8583767623E+0004
4.1331350847E+0010  5.8420295260E+0004
4.1486588170E+0010  5.8247318328E+0004
4.1643874969E+0010  5.8033827814E+0004
4.1803117991E+0010  5.7744172679E+0004
4.1963708658E+0010  5.7377823902E+0004
4.2124023007E+0010  5.6967264350E+0004
4.2281004738E+0010  5.6540281000E+0004
  
