  
  
#r(i)[cm]  rho(i) [g/cm^-3]
  
3.9078713308E+0010  6.1015808192E-0018
3.9234404973E+0010  6.0408687696E-0018
3.9388241257E+0010  5.9753041131E-0018
3.9540401464E+0010  5.9035841148E-0018
3.9691095455E+0010  5.8245851039E-0018
3.9840560362E+0010  5.7374098674E-0018
3.9989057117E+0010  5.6414236636E-0018
4.0136866999E+0010  5.5363018162E-0018
4.0284286393E+0010  5.4220238451E-0018
4.0431623622E+0010  5.2989139658E-0018
4.0579192922E+0010  5.1675748403E-0018
4.0727311053E+0010  5.0288872811E-0018
4.0876292502E+0010  4.8840890476E-0018
4.1026440409E+0010  4.7346469542E-0018
4.1178040034E+0010  4.5821978769E-0018
4.1331350847E+0010  4.4287912129E-0018
4.1486588170E+0010  4.2775446887E-0018
4.1643874969E+0010  4.1343044530E-0018
4.1803117991E+0010  4.0114087550E-0018
4.1963708658E+0010  3.9318790648E-0018
4.2124023007E+0010  3.9294263100E-0018
4.2281004738E+0010  4.0370444309E-0018
  
