  
  
#r(i) [cm]  rho(i) [g/cm^-3]
  
1.0552028793E+0010  2.9731362190E-0014
1.0562969451E+0010  2.8147099992E-0014
1.0574340072E+0010  2.6630247552E-0014
1.0586164141E+0010  2.5178511749E-0014
1.0598466806E+0010  2.3790131013E-0014
1.0611274779E+0010  2.2463352357E-0014
1.0624616424E+0010  2.1195912864E-0014
1.0638522191E+0010  1.9985970993E-0014
1.0653024563E+0010  1.8832738858E-0014
1.0668157374E+0010  1.7735779120E-0014
1.0683955318E+0010  1.6694516767E-0014
1.0700453690E+0010  1.5709047499E-0014
1.0717687169E+0010  1.4778580331E-0014
1.0735689935E+0010  1.3901585633E-0014
1.0754495894E+0010  1.3076202987E-0014
1.0774138652E+0010  1.2298852518E-0014
1.0794653945E+0010  1.1566030527E-0014
1.0816080262E+0010  1.0873666125E-0014
1.0838460970E+0010  1.0217587395E-0014
1.0861846357E+0010  9.5944580131E-0015
1.0886293995E+0010  9.0005549300E-0015
1.0911872155E+0010  8.4339612511E-0015
1.0938657661E+0010  7.8919277244E-0015
1.0966740879E+0010  7.3735887278E-0015
1.0996222299E+0010  6.8770967982E-0015
1.1027218652E+0010  6.4016323293E-0015
1.1059862067E+0010  5.9462081128E-0015
1.1094304111E+0010  5.5101797318E-0015
1.1130717957E+0010  5.0934991960E-0015
1.1169298380E+0010  4.6955862644E-0015
1.1210269444E+0010  4.3160859924E-0015
1.1253888566E+0010  3.9539815196E-0015
1.1300460998E+0010  3.6098053441E-0015
1.1350332260E+0010  3.2836452781E-0015
1.1403899247E+0010  2.9749323353E-0015
1.1461631027E+0010  2.6829082538E-0015
1.1524092066E+0010  2.4074760869E-0015
1.1591952879E+0010  2.1488176249E-0015
1.1666005774E+0010  1.9068830363E-0015
1.1747198233E+0010  1.6819944632E-0015
1.1836649013E+0010  1.4730095692E-0015
1.1935769220E+0010  1.2809897205E-0015
1.2046196318E+0010  1.1036108420E-0015
1.2170142771E+0010  9.4243376657E-0016
1.2310184589E+0010  7.9690325003E-0016
1.2469559323E+0010  6.6687097996E-0016
1.2652264052E+0010  5.5200561811E-0016
1.2863232289E+0010  4.5192772166E-0016
1.3108461934E+0010  3.6592751423E-0016
1.3395214992E+0010  2.9254707351E-0016
1.3732778686E+0010  2.3118447200E-0016
1.4131975760E+0010  1.8160069135E-0016
1.4603148870E+0010  1.4167086147E-0016
1.5158287348E+0010  1.1065615623E-0016
